35.704,1,2,4,5,3
35.912,1,5,4,5,3
36.277,1,5,5,5,3
36.687,1,5,5,2,3
36.732,1,2,4,2,3
36.74,1,3,4,5,3
36.961,1,2,5,2,3
37.098,1,2,5,5,3
37.124,1,3,4,2,3
37.714,1,3,5,5,3
38.077,1,2,2,2,3
38.33,1,2,1,5,3
38.33,1,3,5,2,3
38.9,1,2,4,5,5
38.938,2,3,4,5,3
38.968,1,2,5,5,4
39.083,1,5,2,5,3
39.088,1,3,4,2,5
39.189,1,5,5,5,4
39.22,1,2,2,5,3
39.274,1,2,5,5,2
39.339,2,3,5,5,3
39.339,2,5,5,5,3
39.475,1,5,5,5,2
39.562,1,3,2,5,3
39.71,1,3,4,5,2
39.71,1,3,5,2,4
39.807,1,3,6,5,3
39.811,2,2,5,2,3
39.811,3,2,5,5,3
39.848,1,3,4,5,5
40.055,1,5,4,2,3
40.095,2,2,4,5,3
40.095,2,5,4,5,3
40.11,1,3,1,5,3
40.11,1,5,2,2,3
40.163,5,2,4,2,3
40.178,1,5,6,5,3
40.203,1,5,1,5,4
40.258,1,2,1,5,4
40.315,1,5,1,5,3
40.452,1,3,5,2,5
40.462,1,2,4,2,5
40.486,2,2,5,5,3
40.539,1,5,5,4,3
40.541,1,5,4,5,5
40.551,1,5,5,2,2
40.588,1,3,4,2,2
40.643,1,3,4,2,6
40.746,1,3,5,5,4
40.771,1,2,6,5,3
40.862,1,3,5,2,2
40.937,1,2,4,5,2
40.999,1,3,5,5,5
41.022,1,4,5,5,3
41.029,3,2,4,2,3
41.068,1,3,5,5,2
41.073,1,2,5,2,4
41.089,3,5,5,5,3
41.141,1,5,5,2,4
41.154,1,3,2,2,3
41.158,2,2,4,2,3
41.161,2,5,5,2,3
41.204,1,5,5,5,5
41.229,1,4,5,2,3
41.321,3,2,4,5,3
41.332,3,5,4,5,3
41.426,1,2,1,5,5
41.493,1,2,1,5,2
41.543,1,6,4,5,3
41.554,1,5,4,5,4
41.572,2,5,5,5,4
41.593,5,2,4,5,3
41.615,2,2,1,5,3
41.627,1,2,2,5,2
41.627,1,2,5,2,5
41.695,1,5,1,5,2
41.7,5,2,5,2,3
41.709,1,2,6,2,3
41.709,1,3,6,2,3
41.762,1,5,2,5,2
41.821,1,1,5,2,3
41.829,1,2,5,5,5
41.896,1,5,5,2,5
41.903,3,2,5,2,3
41.961,1,1,4,2,3
41.97,2,3,5,2,3
41.989,1,3,4,5,4
42.092,1,3,4,2,4
42.098,1,5,2,5,5
42.13,1,5,1,5,5
42.179,1,3,5,2,6
42.227,2,2,1,5,4
42.23,1,4,1,5,4
42.244,2,2,1,2,3
42.254,1,6,5,5,3
42.265,1,4,4,5,3
42.3,1,2,3,5,3
42.3,2,5,1,5,3
42.3,1,2,5,2,2
42.308,1,2,1,2,3
42.328,1,6,1,5,3
