PUNTO,ROUTER,RSSI
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-65.0
AA,74:DA:EA:B4:3A:B3,-64.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-73.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-73.0
AA,74:DA:EA:B4:3A:B3,-73.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-65.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-65.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-70.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-66.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-72.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-71.0
AA,74:DA:EA:B4:3A:B3,-66.0
