1 	2016-05-19 23:29:11.652429 	2016-05-19 23:29:21.687058

1 	2016-05-19 23:29:21.688069 	2016-05-19 23:29:25.703001

2 	2016-05-19 23:29:25.911649 	2016-05-19 23:29:35.928902

2 	2016-05-19 23:29:35.929866 	2016-05-19 23:29:39.943252

3 	2016-05-19 23:29:39.944209 	2016-05-19 23:29:49.963541

3 	2016-05-19 23:29:49.964357 	2016-05-19 23:29:53.975686

4 	2016-05-19 23:29:53.976648 	2016-05-19 23:30:03.995943

4 	2016-05-19 23:30:03.996929 	2016-05-19 23:30:08.010188

5 	2016-05-19 23:30:08.011224 	2016-05-19 23:30:18.030637

5 	2016-05-19 23:30:18.032203 	2016-05-19 23:30:22.049567

6 	2016-05-19 23:30:28.023089 	2016-05-19 23:30:38.040919

6 	2016-05-19 23:30:38.041823 	2016-05-19 23:30:42.052942

7 	2016-05-19 23:30:42.053858 	2016-05-19 23:30:52.071066

7 	2016-05-19 23:30:52.072022 	2016-05-19 23:30:56.083163

8 	2016-05-19 23:30:56.552047 	2016-05-19 23:31:06.571591

8 	2016-05-19 23:31:06.572443 	2016-05-19 23:31:10.583661

9 	2016-05-19 23:31:13.255058 	2016-05-19 23:31:23.284370

9 	2016-05-19 23:31:23.285182 	2016-05-19 23:31:27.296023

10 	2016-05-19 23:31:27.298290 	2016-05-19 23:31:37.316106

10 	2016-05-19 23:31:38.553223 	2016-05-19 23:31:42.565041

11 	2016-05-19 23:31:42.566260 	2016-05-19 23:31:52.584017

1 2016-05-19 23:29:14.008309 False C8:5B:EA:43:6F:75 -61 FB:D3:B5:B9:89:F2 -74 F7:24:98:9B:B6:EA -58 C9:EC:7A:17:D8:D5 -52 EA:EF:87:2F:4D:93 -58
1 2016-05-19 23:29:14.111319 False C8:5B:EA:43:6F:75 -62 FB:D3:B5:B9:89:F2 -50 F7:24:98:9B:B6:EA -60 C9:EC:7A:17:D8:D5 -57 EA:EF:87:2F:4D:93 -53
1 2016-05-19 23:29:14.216332 False C8:5B:EA:43:6F:75 -52 FB:D3:B5:B9:89:F2 -63 F7:24:98:9B:B6:EA -50 C9:EC:7A:17:D8:D5 -52 EA:EF:87:2F:4D:93 -59
1 2016-05-19 23:29:14.335350 False C8:5B:EA:43:6F:75 -76 FB:D3:B5:B9:89:F2 -56 F7:24:98:9B:B6:EA -73 C9:EC:7A:17:D8:D5 -53 EA:EF:87:2F:4D:93 -61
1 2016-05-19 23:29:14.441362 False C8:5B:EA:43:6F:75 -58 FB:D3:B5:B9:89:F2 -51 F7:24:98:9B:B6:EA -52 C9:EC:7A:17:D8:D5 -58 EA:EF:87:2F:4D:93 -62
1 2016-05-19 23:29:14.633390 False C8:5B:EA:43:6F:75 -58 FB:D3:B5:B9:89:F2 -54 F7:24:98:9B:B6:EA -60 C9:EC:7A:17:D8:D5 -60 EA:EF:87:2F:4D:93 -60
1 2016-05-19 23:29:14.755532 False C8:5B:EA:43:6F:75 -54 FB:D3:B5:B9:89:F2 -74 F7:24:98:9B:B6:EA -68 C9:EC:7A:17:D8:D5 -57 EA:EF:87:2F:4D:93 -57
1 2016-05-19 23:29:14.859546 False C8:5B:EA:43:6F:75 -61 FB:D3:B5:B9:89:F2 -50 F7:24:98:9B:B6:EA -62 C9:EC:7A:17:D8:D5 -71 EA:EF:87:2F:4D:93 -54
1 2016-05-19 23:29:14.958433 False C8:5B:EA:43:6F:75 -55 FB:D3:B5:B9:89:F2 -64 F7:24:98:9B:B6:EA -53 C9:EC:7A:17:D8:D5 -53 EA:EF:87:2F:4D:93 -61
1 2016-05-19 23:29:15.070444 False C8:5B:EA:43:6F:75 -60 FB:D3:B5:B9:89:F2 -51 F7:24:98:9B:B6:EA -62 C9:EC:7A:17:D8:D5 -69 EA:EF:87:2F:4D:93 -52
