Beacon
Posx, Posy, RSSI
1,1,-96,-94,-92,-90,-90,0,0,0,0,0,-100,-100,-97,-92,0,0,0,0,0,0,-101,-96,-94,-94,-94,-93,-91,0,0,0
1,1,-89,-88,-88,-87,-87,-86,-86,-85,-85,-84,-100,-98,-96,-95,-94,-94,-91,-90,-88,-86,-100,-100,-100,-99,-99,-98,-98,-93,-91,-86
1,1,-92,-87,-85,-85,-85,-85,-84,-84,-83,-83,-97,-97,-96,0,0,0,0,0,0,0,-90,-90,-90,-90,-89,-89,-87,0,0,0
1,1,-93,-90,-90,-89,-88,-87,0,0,0,0,-96,-94,-94,-91,-90,0,0,0,0,0
1,1,-92,-90,-90,-89,-86,-82,0,0,0,0,-91,-83,-83,-83,-82,0,0,0,0,0,-85,-84,-84,0,0,0,0,0,0,0
1,1,-92,-86,0,0,0,0,0,0,0,0,-95,0,0,0,0,0,0,0,0,0
1,1,-94,-93,-92,-92,-91,-88,-88,-87,-87,-86,-98,-98,-98,-94,-93,-92,-91,-90,-90,-89,-97,-94,-94,-93,-93,-93,-93,-93,-92,-91
1,1,-95,-93,-92,-92,-92,-88,-88,-86,0,0,-98,-91,-91,-88,-88,-87,-87,-87,-87,-83,-100,-98,-96,-95,-93,-93,-92,-92,0,0
1,1,-92,-92,-92,-90,-89,-88,0,0,0,0,-95,-94,0,0,0,0,0,0,0,0,-99,-96,-95,-93,-93,0,0,0,0,0
1,1,-100,-97,-89,-88,-88,-88,0,0,0,0,-95,0,0,0,0,0,0,0,0,0,-94,-92,-92,-92,-91,-90,-89,0,0,0
1,1,-93,-91,-90,0,0,0,0,0,0,0,-92,-90,-88,0,0,0,0,0,0,0,-96,-94,-92,0,0,0,0,0,0,0
1,1,-101,-94,-93,-90,0,0,0,0,0,0,-97,-96,-93,-93,-91,-89,0,0,0,0,-96,-94,-94,-93,-90,-85,-83,0,0,0
1,2,-98,-95,-94,-90,-89,-89,-89,-89,-88,0,-94,-93,-93,-92,-91,-88,-86,-86,-85,-84,-97,-95,-93,-91,-90,-88,-86,-86,-86,-86
