Beacon,Potencias
Be11,-72,-70,-67,-76,-76,-77,-69,-69,-71,-80,-71,-70,-74,-77,-68,-74,-72,-70,-68,-70,-71,-73,-73,-77,-78,-77,-78,-79,-77,-72,-75,-69,-72,-74,-75,-73,-74,-75,-72,-76,-72,-72,-71,-70,-71,-72,-71,-72,-74,-72,-70,-70,-70,-76,-71,-71,-71,-70,-70,-71,-77,-70,-71,-71,-72,-72,-70,-71,-70,-68,-68,-67,-68,-67,-75,-75,-75,-71,-68,-68,-68,-68,-68,-74,-75,-76,-70,-70,-70,-67,-67,-74,-75,-75,-67,-67,-74,-73,-73,-75,-71,-71,-70,-67,-67,-74,-74,-67,-67,-73,-73,-70,-71,-71,-68,-68,-68,-68,-70,-70,-71,-71,-72,-71,-70,-69,-70,-71,-68,-68,-68,-75,-75,-70,-69,-69,-70,-72,-72,-73,-73,-73,-68,-68,-70,-72,-72,-73,-69,-69,-73,-73,-72,-72,-71,-72,-71,-72,-72,-75,-70,-71,-68,-69,-68,-70,-67,-68,-68,-85,-78,-75,-72,-72,-69,-71,-70,-68,-76,-79,-69,-69,-69,-70,-70,-80,-78,-81,-70,-69,-68,-72,-72,-72,-74,-75,-72,-76,-72,-73,-73,-74,-74,-73,-73,-74,-71,-72,-72,-74,-72,-87,-79,-75,-73,-75,-70,-71,-71,-74,-72,-71,-71,-77,-72,-74,-75,-73,-73,-70,-70,-70,-76,-70,-70,-71,-71,-77,-71,-71,-72,-72,-78,-72,-76,-76,-80,-78,-77,-80,-80,-81,-82,-88,-87,-85,-72,-72,-80,-73,-77,-77,-73,-73,-73,-73,-81,-86,-71,-72,-72,-72,-72,-72,-84,-73,-72,-72,-84,-84,-72,-72,-72,-72,-72,-82,-72,-73,-72,-81,-74,-72,-73,-85,-85,-75,-81,-80,-77,-76,-77,-72,-71,-75,-71,-70,-76,-80,-68,-70,-69
Medidas obtenidas:
Be11
	 Media: -72.79099678456592
	 Desv. Est.: 4.0709096989996
