Beacon,Potencias
Be11,-87,-86,-83,-84,-84,-96,-94,-91,-89,-90,-90,-92,-91,-89,-88,-89,-92,-86,-89,-94,-95,-92,-93,-93,-87,-86,-89,-90,-90,-91,-98,-99,-92,-92,-91,-90,-88,-88,-88,-88,-89,-91,-90,-86,-87,-86,-90,-90,-92,-90,-99,-100,-92,-95,-100,-91,-93,-92,-97,-93,-96,-95,-88,-97,-87,-89,-96,-93,-92,-87,-87,-98,-89,-87,-85,-86,-86,-84,-83,-83,-84,-92,-91,-90,-88,-86,-88,-91,-91,-91,-90,-96,-93,-100,-94,-86,-87,-88,-90,-86,-84,-84,-84,-84,-83,-100,-83,-83,-97,-93,-95,-90,-87,-84,-94,-93,-93,-96,-98,-80,-79,-90,-90,-88,-87,-84,-85,-86,-90,-90,-90,-89,-86,-86,-83,-88,-87,-89,-85,-81,-88,-93,-97,-90,-84,-82,-84,-86,-87,-85,-84,-86,-84,-93,-98,-85,-85,-86,-90,-90,-90,-93,-89,-94,-92,-86,-84,-85,-87,-89,-93,-97,-86,-85,-90,-94,-95,-86,-86,-84,-83,-88,-88,-87,-90,-91,-91,-90,-88,-90,-90,-90,-91,-91,-91,-91,-90,-91,-92,-92,-90,-90,-89,-92,-93,-92,-90,-91,-91,-88,-89,-87,-90,-90,-93,-92,-97,-90,-89,-94,-92,-92,-88,-90,-88,-92,-92,-95,-96,-92,-90,-92,-87,-87,-93,-95,-93,-97,-97,-94,-95,-93,-90,-93,-86,-90,-93,-102,-100,-92,-91,-97,-94,-94,-89,-89,-93,-94,-87,-87,-86,-89,-91,-88,-88,-88,-90,-87,-88,-88,-88,-84,-84,-83,-84,-88,-89,-92,-91,-90,-90,-89,-88,-90,-91,-93,-94,-90,-88,-92,-102,-91,-92,-95,-100,-97,-98
Medidas obtenidas:
Be11
	 Media: -90.02020202020202
	 Desv. Est.: 4.179211255225889
