Beacon,Potencias
Be11,-83,-87,-90,-89,-93,-100,-92,-90,-88,-88,-88,-83,-83,-82,-80,-87,-87,-89,-93,-95,-90,-88,-87,-86,-93,-90,-88,-86,-85,-84,-84,-91,-93,-98,-98,-99,-91,-92,-89,-88,-87,-90,-88,-86,-94,-92,-85,-86,-92,-89,-89,-90,-95,-84,-84,-85,-82,-80,-81,-81,-81,-92,-89,-81,-80,-89,-85,-85,-80,-80,-92,-92,-84,-84,-86,-81,-82,-82,-91,-83,-91,-88,-88,-87,-86,-86,-83,-97,-101,-88,-87,-82,-82,-82,-82,-88,-88,-82,-81,-95,-92,-82,-81,-81,-82,-93,-99,-87,-88,-81,-97,-86,-86,-86,-81,-81,-84,-86,-86,-80,-81,-80,-94,-81,-96,-89,-81,-82,-82,-81,-98,-91,-95,-90,-87,-81,-86,-90,-92,-81,-81,-81,-96,-81,-82,-82,-81,-81,-82,-81,-81,-81,-92,-80,-98,-88,-81,-81,-81,-81,-99,-92,-92,-92,-82,-82,-81,-96,-100,-98,-88,-87,-83,-82,-83,-83,-93,-94,-93,-90,-81,-83,-85,-84,-84,-86,-85,-83,-95,-98,-96,-99,-95,-92,-92,-84,-99,-88,-87,-80,-80,-102,-101,-96,-94,-95,-86,-86,-80,-86,-88,-90,-81,-81,-95,-84,-86,-86,-95,-95,-94,-94,-95,-95,-94,-84,-81,-94,-93,-90,-85,-86,-84,-86,-86,-83,-83,-84,-80,-80,-80,-88,-80,-81,-80,-80,-80,-88,-86,-87,-81,-86,-87,-81,-94,-84,-84,-90,-87,-87,-86,-84,-84,-82,-82,-86,-86,-86,-86,-86,-90,-81,-81,-88
Medidas obtenidas:
Be11
	 Media: -87.08424908424908
	 Desv. Est.: 5.5409777855611235
