Beacon,Potencias
Be11,-86,-84,-85,-82,-86,-86,-86,-86,-84,-87,-86,-88,-88,-90,-91,-87,-89,-84,-83,-83,-86,-86,-83,-86,-87,-91,-87,-86,-86,-87,-80,-92,-86,-86,-88,-87,-92,-92,-92,-87,-82,-83,-83,-83,-85,-92,-90,-85,-92,-92,-88,-87,-99,-90,-93,-88,-87,-86,-92,-85,-90,-96,-91,-90,-95,-91,-99,-90,-93,-84,-82,-82,-95,-90,-92,-94,-87,-86,-86,-96,-89,-95,-90,-98,-89,-88,-92,-88,-91,-92,-90,-92,-95,-94,-85,-84,-97,-92,-93,-91,-95,-92,-93,-89,-88,-88,-93,-91,-96,-93,-92,-103,-101,-94,-89,-97,-95,-82,-86,-87,-85,-81,-82,-82,-82,-87,-88,-88,-92,-85,-82,-83,-89,-83,-88,-98,-88,-88,-94,-88,-90,-92,-89,-82,-84,-86,-84,-90,-98,-92,-88,-84,-84,-85,-87,-90,-90,-95,-87,-92,-86,-96,-90,-88,-90,-103,-93,-87,-87,-95,-98,-99,-87,-84,-83,-85,-82,-93,-83,-86,-83,-91,-98,-83,-84,-85,-82,-83,-100,-85,-87,-85,-86,-90,-83,-98,-90,-86,-86,-84,-84,-84,-85,-84,-86,-88,-89,-85,-84,-87,-86,-87,-85,-84,-84,-85,-96,-87,-86,-82,-83,-83,-94,-92,-86,-87,-96,-96,-92,-88,-84,-84,-86,-85,-85,-96,-94,-95,-95,-99,-91,-87,-82,-83,-86,-95,-95,-86,-96,-95,-90,-86,-82,-93,-90,-84,-85,-86,-96,-90,-86,-82,-95,-96,-86,-87,-86,-84,-84,-84,-90,-90,-92,-91,-90,-89,-88,-86,-88,-86,-85,-95
Medidas obtenidas:
Be11
	 Media: -88.61702127659575
	 Desv. Est.: 4.687622187398179
