Beacon,Potencias
Be11,-87,-83,-83,-83,-85,-87,-86,-88,-88,-90,-90,-86,-86,-85,-86,-86,-85,-85,-85,-86,-88,-88,-86,-86,-88,-92,-92,-93,-86,-87,-85,-86,-88,-90,-88,-89,-87,-86,-87,-88,-90,-91,-92,-94,-96,-86,-86,-86,-86,-86,-92,-93,-90,-89,-87,-86,-94,-91,-86,-87,-87,-88,-93,-92,-86,-86,-87,-87,-86,-90,-90,-91,-91,-90,-89,-88,-86,-86,-87,-86,-90,-90,-90,-90,-89,-87,-87,-90,-87,-87,-87,-87,-91,-92,-86,-86,-86,-90,-91,-89,-90,-91,-91,-91,-89,-87,-92,-87,-86,-86,-99,-92,-91,-87,-85,-84,-101,-97,-88,-87,-87,-92,-94,-86,-86,-90,-89,-90,-90,-89,-87,-90,-92,-90,-92,-88,-87,-87,-86,-86,-87,-91,-90,-90,-90,-91,-90,-99,-85,-88,-88,-99,-95,-93,-94,-94,-93,-85,-86,-92,-92,-97,-86,-85,-92,-92,-85,-86,-86,-86,-88,-86,-94,-95,-86,-86,-87,-86,-94,-93,-86,-91,-90,-90,-90,-88,-88,-86,-91,-90,-86,-89,-90,-89,-88,-90,-90,-91,-88,-87,-87,-87,-87,-91,-90,-86,-88,-88,-87,-93,-94,-86,-87,-89,-88,-92,-94,-92,-93,-94,-94,-92,-90,-89,-95,-87,-86,-96,-96,-99,-87,-90,-92,-87,-86,-87,-87,-87,-95,-92,-87,-87,-86,-99,-87,-87,-88,-88,-93,-96,-100,-100,-87,-87,-96,-92,-97,-94,-92,-93,-90,-90,-91,-88,-87,-90,-92,-94,-92,-88,-89,-89,-90,-90,-90,-88,-88,-88,-92,-95,-92,-87,-87,-92,-95,-93,-94,-94,-92,-84,-84,-84
Medidas obtenidas:
Be11
	 Media: -89.3573883161512
	 Desv. Est.: 3.44555266330195
