Beacon,Potencias
Be11,-79,-78,-78,-78,-77,-78,-75,-76,-76,-76,-75,-76,-76,-76,-76,-77,-77,-76,-75,-76,-77,-79,-77,-79,-80,-81,-76,-84,-82,-86,-77,-78,-78,-78,-79,-83,-83,-86,-84,-79,-96,-84,-80,-78,-76,-78,-79,-80,-74,-75,-80,-81,-85,-88,-80,-80,-76,-76,-76,-76,-80,-81,-80,-94,-87,-84,-82,-85,-86,-84,-88,-87,-84,-84,-83,-83,-82,-82,-90,-88,-87,-87,-85,-83,-84,-83,-87,-88,-88,-90,-89,-87,-85,-90,-97,-82,-82,-83,-84,-80,-97,-95,-84,-83,-82,-77,-83,-83,-82,-81,-83,-77,-75,-82,-82,-82,-82,-82,-82,-77,-78,-81,-84,-85,-86,-77,-78,-78,-78,-81,-80,-92,-79,-79,-80,-78,-79,-79,-97,-77,-77,-78,-78,-78,-81,-80,-78,-81,-81,-82,-81,-80,-79,-80,-83,-76,-76,-76,-93,-94,-84,-78,-94,-92,-88,-87,-81,-83,-77,-82,-83,-82,-81,-77,-76,-76,-76,-82,-78,-81,-82,-79,-76,-76,-86,-85,-86,-86,-87,-88,-86,-89,-92,-95,-77,-78,-84,-82,-80,-81,-84,-84,-84,-84,-80,-81,-80,-79,-81,-79,-85,-85,-97,-93,-88,-87,-85,-82,-84,-78,-81,-84,-79,-81,-83,-76,-77,-81,-93,-90,-84,-80,-80,-79,-77,-84,-77,-78,-78,-80,-77,-78,-88,-87,-76,-77,-80,-79,-87,-77,-77,-79,-79,-86,-75,-75,-79,-79,-79,-81,-75,-76,-76,-78,-76,-75,-85,-76,-76,-82,-79,-76,-84,-86,-79,-76,-76,-78,-74,-73,-79,-82,-78,-79,-84,-75,-73,-81,-80,-83,-74,-79,-77,-78,-84,-84,-75,-75,-76,-81,-78,-80,-82,-74,-75,-80,-80,-80,-79,-83,-83,-82,-74,-79
Medidas obtenidas:
Be11
	 Media: -81.18849840255591
	 Desv. Est.: 4.8766445596388435
