Beacon,Potencias
Be11,-93,-89,-89,-88,-90,-90,-100,-98,-97,-94,-93,-90,-90,-92,-91,-92,-92,-93,-94,-92,-92,-94,-94,-96,-94,-100,-100,-95,-94,-94,-95,-94,-95,-99,-93,-92,-96,-98,-95,-95,-98,-98,-98,-98,-93,-92,-92,-91,-91,-97,-96,-95,-94,-95,-93,-95,-96,-97,-94,-94,-93,-94,-96,-96,-96,-94,-94,-92,-97,-96,-98,-100,-99,-98,-93,-90,-96,-100,-99,-93,-91,-93,-102,-99,-98,-96,-96,-95,-92,-94,-94,-101,-99,-93,-91,-91,-90,-92,-102,-100,-98,-100,-100,-102,-92,-94,-94,-93,-91,-98,-96,-95,-98,-101,-92,-94,-90,-90,-89,-89,-98,-99,-95,-92,-86,-86,-86,-85,-85,-85,-86,-87,-102,-101,-100,-93,-92,-91,-88,-91,-91,-91,-90,-90,-90,-92,-96,-92,-93,-93,-92,-94,-98,-99,-99,-94,-92,-96,-97,-99,-96,-102,-96,-92,-93,-96,-94,-100,-98,-96,-96,-98,-98,-94,-92,-100,-101,-99,-100,-96,-99,-94,-93,-92,-92,-93,-97,-93,-97,-97,-98,-99,-97,-96,-96,-95,-96,-93,-94,-95,-94,-94,-94,-98,-93,-94,-93,-98,-93,-92,-101,-93,-93,-92,-92,-92,-91,-93,-92,-89,-92,-91,-92,-93,-92,-92,-92,-92,-92,-90,-91,-90,-90,-89,-94,-94,-92,-93,-94,-94,-91,-91,-91,-97,-90,-90,-92
Medidas obtenidas:
Be11
	 Media: -94.2326530612245
	 Desv. Est.: 3.583739904472797
