Beacon,Potencias
Be11,-65,-65,-66,-63,-62,-64,-64,-61,-61,-62,-62,-61,-62,-63,-63,-66,-65,-61,-61,-61,-66,-62,-62,-64,-76,-66,-66,-72,-64,-62,-62,-62,-66,-68,-70,-71,-70,-66,-69,-71,-72,-67,-66,-64,-63,-61,-63,-76,-74,-66,-65,-67,-67,-67,-67,-67,-66,-66,-64,-63,-63,-63,-63,-64,-64,-63,-67,-68,-65,-63,-63,-62,-61,-73,-66,-65,-64,-63,-65,-68,-62,-62,-70,-71,-67,-67,-72,-68,-66,-67,-68,-69,-65,-65,-62,-70,-66,-68,-71,-74,-63,-64,-64,-71,-69,-64,-64,-64,-68,-71,-71,-66,-67,-67,-81,-68,-65,-64,-63,-70,-66,-65,-65,-68,-68,-67,-66,-67,-66,-65,-69,-67,-69,-70,-68,-67,-68,-67,-69,-68,-68,-68,-68,-68,-68,-72,-72,-71,-68,-68,-69,-68,-69,-67,-72,-71,-72,-68,-69,-68,-69,-69,-69,-69,-68,-67,-70,-69,-68,-68,-68,-68,-68,-69,-66,-67,-70,-67,-68,-66,-66,-71,-72,-71,-72,-69,-69,-68,-68,-69,-68,-71,-70,-68,-69,-67,-66,-64,-65,-71,-70,-66,-65,-64,-64,-64,-63,-70,-65,-65,-66,-66,-66,-64,-72,-72,-72,-64,-65,-66,-66,-72,-73,-82,-81,-70,-66,-75,-77,-77,-77,-77,-78,-83,-76,-70,-72,-63,-66,-68,-65,-63,-66,-65,-73,-67,-72,-73,-66,-66,-67,-67,-67,-67,-70,-68,-69,-73,-68,-70,-66,-64,-71,-72,-68,-67,-69,-76,-72,-71,-65,-65,-70,-72,-69,-80,-76,-76,-74,-65,-65,-65,-71,-72,-69,-66,-68,-66,-70,-70,-64,-64,-65,-67,-63,-63,-70,-68,-71,-78,-80,-68,-67,-66,-76,-66,-67,-68,-66,-72,-75,-69,-68,-67,-63,-63
Medidas obtenidas:
Be11
	 Media: -67.73968253968253
	 Desv. Est.: 4.027237665075144
