Beacon,Potencias
Be11,-76,-75,-77,-86,-81,-72,-71,-72,-72,-73,-71,-71,-71,-75,-74,-82,-85,-73,-71,-71,-71,-70,-70,-69,-83,-99,-82,-73,-72,-76,-70,-79,-78,-77,-78,-82,-78,-70,-69,-70,-77,-76,-77,-70,-70,-70,-69,-77,-78,-78,-67,-70,-70,-71,-70,-76,-76,-68,-68,-68,-68,-74,-74,-76,-76,-67,-68,-68,-67,-73,-74,-75,-81,-82,-76,-75,-71,-71,-71,-71,-71,-74,-73,-76,-78,-76,-74,-84,-81,-82,-84,-71,-71,-71,-70,-70,-70,-70,-70,-74,-76,-77,-75,-69,-68,-68,-74,-69,-69,-70,-81,-81,-75,-74,-74,-70,-70,-81,-84,-75,-76,-76,-70,-69,-70,-74,-74,-74,-76,-76,-69,-68,-68,-68,-75,-68,-68,-70,-74,-73,-72,-74,-70,-70,-70,-74,-73,-74,-78,-79,-71,-72,-78,-78,-73,-73,-74,-74,-75,-75,-78,-82,-80,-80,-80,-73,-73,-77,-77,-76,-79,-73,-74,-72,-74,-75,-74,-77,-76,-79,-78,-79,-72,-72,-77,-77,-77,-78,-72,-73,-82,-82,-75,-73,-84,-86,-93,-77,-79,-80,-82,-80,-84,-86,-80,-78,-81,-83,-82,-80,-78,-86,-82,-81,-81,-80,-88,-84,-80,-83,-81,-81,-78,-75,-76,-76,-76,-76,-75,-77,-76,-77,-78,-81,-76,-82,-76,-76,-77,-80,-82,-83,-81,-79,-78,-81,-84,-86,-72,-72,-73,-98,-74,-74,-80,-80,-79,-76,-77,-81,-78,-77,-73,-73,-74,-74,-82,-76,-82,-76,-74,-74,-81,-80,-81,-80,-78,-75,-74,-74,-74,-78,-75,-75,-74,-76,-79,-82,-75,-82,-80,-83,-81,-86,-89,-90,-72,-74,-78,-78,-86,-79,-86,-84,-74,-74,-82,-85,-85,-75,-76,-74,-74,-80,-80,-78,-76,-71,-71,-76,-76
Medidas obtenidas:
Be11
	 Media: -76.121875
	 Desv. Est.: 5.175977449222413
