Beacon,Potencias
Be11,-89,-87,-87,-87,-87,-87,-87,-88,-86,-89,-89,-90,-89,-94,-90,-98,-92,-95,-93,-94,-97,-96,-96,-88,-90,-93,-93,-85,-83,-89,-90,-91,-92,-96,-93,-92,-90,-86,-88,-85,-84,-84,-84,-90,-92,-92,-88,-90,-96,-98,-97,-99,-90,-90,-90,-89,-89,-101,-90,-89,-90,-92,-91,-91,-93,-93,-93,-94,-94,-91,-92,-92,-90,-88,-86,-86,-87,-88,-86,-88,-89,-90,-88,-89,-88,-100,-88,-98,-98,-92,-90,-90,-88,-89,-88,-92,-94,-91,-92,-92,-97,-97,-99,-93,-90,-89,-86,-86,-87,-86,-100,-99,-100,-87,-86,-86,-86,-86,-98,-96,-95,-93,-94,-88,-88,-88,-88,-88,-88,-95,-92,-90,-89,-89,-89,-98,-96,-98,-101,-93,-92,-86,-90,-89,-89,-91,-92,-93,-94,-95,-93,-93,-96,-95,-96,-95,-95,-98,-90,-90,-100,-98,-95,-98,-95,-93,-94,-93,-95,-87,-88,-97,-95,-94,-97,-95,-95,-95,-96,-95,-94,-88,-94,-88,-96,-96,-96,-91,-89,-88,-89,-88,-88,-90,-91,-92,-92,-90,-88,-88,-89,-92,-92,-92,-94,-92,-86,-86,-85,-84,-86,-86,-86,-90,-91,-93,-92,-98,-93,-88,-87,-88,-88,-91,-91,-91,-90,-91,-88,-94,-91,-87,-86,-84,-91,-92,-92,-93,-93,-96,-94,-100,-89,-88,-87,-86,-86,-90,-94,-94,-96,-94,-95,-88,-88,-88,-87,-88,-96,-98,-94,-94,-95,-91,-91,-90,-86,-86,-86,-86,-88,-91,-93,-92,-92,-88,-88,-87,-87,-92
Medidas obtenidas:
Be11
	 Media: -91.15357142857142
	 Desv. Est.: 3.9122986068480143
