Beacon
Posx, Posy, RSSI
1,1,-91,-92,-90,-83,-85,-87,-83,-82,-80,-83,-99,-93,-94,-88,-81,-81,-81,-82,-86,-91,-82,-94,-93,-96,-99,-93,-87,-91,-93,-87,-86,-84,-85,-86,-88,-90,-94,-89,-90,-92,-94,-92,-95,-86,-93,-86,-93,-97,-100,-94,-95,-91,-95,-99,-96,-92,-91,-90,-90,-91,-96,-93,-93,-93,-92,-94,-97,-90,-91
1,1,-92,-85,-84,-83,-82,-82,-83,-83,-83,-84,-89,-83,-91,-99,-100,-95,-92,-94,-92,-98,-93,-92,-90,-87,-90,-86,-92,-88,-101,-99,-93,-89,-88,-93,-83,-89,-97,-90,-87,-83,-86,-84,-84,-83,-82,-87,-92,-92,-94,-92,-92,-92,-94,-89,-91,-94,-92,-91,-97,-90,-91,-93,-97,-94,-98,-100,-93,-91,-93,-92,-91,-93,-97,-99,-98,-94,-92,-92,-93,-94,-94,-99,-98,-95,-94,-91,-90,-88,-91,-92,-91,-93,-93,-94,-94,-93,-94,-95,-96,-92,-91,-95,-92,-93,-93,-96,-92,-92
1,1,-92,-90,-95,-95,-97,-97,-92,-88,-89,-86,-84,-83,-80,-81,-82,-94,-99,-92,-87,-88,-92,-88,-91,-93,-84,-81,-82,-86,-92,-88,-83,-86,-86,-86,-89,-95,-98,-86,-85,-86,-87,-91,-90,-91,-89,-91,-92,-93,-94,-92,-92,-98,-97,-98,-92,-87,-87,-89,-92,-92,-92,-87,-94,-96,-90,-86,-88,-86,-87,-93,-101,-98,-92,-92,-93,-90,-90,-90,-97,-95,-92,-96,-97,-94,-97,-95,-96,-95,-94,-96,-96,-99,-99,-97,-92,-90,-93,-95,-100,-98,-98,-91,-92,-97,-94
1,1,-85,-85,-86,-89,-100,-92,-88,-89,-94,-91,-84,-91,-95,-95,-90,-95,-84,-81,-82,-90,-92,-95,-88,-96,-92,-88,-95,-96,-92,-87,-88,-89,-93,-96,-98,-84,-84,-85,-86,-86,-87,-90,-90,-90,-97,-95,-101,-96,-90,-94,-92,-88,-89,-92,-89,-92,-84,-91,-92,-94,-87,-91,-91,-88,-93,-94,-90,-89,-92,-91,-92,-92,-90,-92,-95,-92,-94,-97,-96,-93,-98,-101,-89,-94,-90,-93,-103,-99,-102,-102,-99,-101,-96,-99,-92,-87,-87,-89,-88,-92,-88,-88,-86,-85,-86
1,2,-97,-89,-90,-98,-95,-83,-83,-87,-94,-95,-91,-88,-89,-88,-86,-98,-100,-96,-89,-93,-89,-89,-89,-99,-95,-93,-93,-85,-86,-96,-93,-93,-94,-97,-99,-96,-89,-92,-99,-98,-91,-101,-98,-98,-98,-94,-97,-98,-96,-99,-97,-96,-98,-91,-88,-90,-90,-97,-94,-93,-99,-90,-94,-91,-92,-95
1,2,-83,-85,-85,-84,-86,-95,-98,-93,-95,-99,-84,-99,-90,-87,-85,-81,-95,-93,-93,-91,-92,-95,-87,-94,-92,-87,-91,-90,-90,-89,-87,-94,-93,-94,-93,-96,-98,-96,-98,-94,-91,-93,-98,-87,-89,-90,-89,-94,-91,-90,-90,-98,-98,-101,-94,-98,-93,-91,-92,-92,-97,-95,-94,-95,-95,-95,-102,-95,-87,-96,-98,-93,-97,-96,-93
1,2,-88,-87,-85,-92,-97,-94,-86,-90,-92,-92,-94,-95,-91,-90,-91,-95,-101,-95,-93,-97,-96,-91,-87,-85,-84,-92,-95,-92,-92,-96,-92,-94,-88,-86,-89,-86,-96,-96,-93,-90,-89,-94,-93,-89,-88,-85,-91,-88,-92,-93,-94,-92,-93,-90,-97,-94,-96,-98,-97,-92,-98,-97,-98,-91,-94,-100,-92,-94,-93,-98,-95,-96,-97,-94,-93
1,2,-96,-96,-93,-88,-92,-102,-95,-93,-84,-94,-94,-93,-96,-99,-99,-101,-97,-93,-97,-98,-94,-95,-98,-94,-94,-93,-94,-91,-91,-88,-88,-93,-91,-88,-91,-93,-98,-96,-90,-92,-90,-90,-93,-96,-96,-98,-94,-95,-98,-94,-88,-89,-92,-97,-92,-94,-100,-99,-94,-96,-91,-89,-98,-102,-89,-101,-93,-100,-100,-98,-93,-92,-95,-107,-93,-97,-99,-94,-97,-94,-96,-93,-89,-91,-95,-99,-97,-94,-101,-92,-95,-93,-97
1,2,-94,-89,-100,-91,-91,-91,-87,-90,-93,-91,-87,-93,-90,-101,-98,-90,-91,-91,-91,-95,-91,-92,-95,-88,-96,-96,-92,-96,-97,-97,-97,-96,-95,-95,-93,-91,-93,-91,-88,-91,-94,-93,-95,-88,-85,-85,-91,-89,-96,-90,-91,-90,-90,-92,-96,-94,-94,-99,-97,-97,-93,-91,-93,-99,-101,-91,-86,-85,-86,-88,-86,-87,-95,-97,-100,-93,-93,-101,-95,-94,-97,-98,-97,-102,-94,-96,-93,-94,-97,-94,-94,-93,-93,-90,-93,-98,-95,-93,-98,-98,-97,-95,-97,-96,-100,-97,-90,-91
1,2,-97,-92,-95,-95,-96,-95,-97,-86,-87,-90,-93,-85,-95,-95,-96,-93,-92,-81,-97,-98,-98,-92,-89,-102,-96,-93,-94,-95,-102,-90,-97,-96,-92,-93,-99,-93,-97,-95,-94,-95,-92,-90,-102,-92,-92,-96,-98,-99,-91,-98,-95,-94,-94,-94,-97,-97,-100,-99,-100,-98,-97,-92,-96
