Beacon
Posx, Posy, RSSI
4,1,-94,-84,-84,-87,-99,-92,-92,-94,-93,-88,-86,-92,-92,-89,-87,-90,-90,-89,-97,-95,-96,-91,-87,-89,-92,-88,-84,-88,-84,-79,-84,-85,-83,-78,-76,-76,-76,-95,-92,-98,-92,-92,-92,-90,-90,-86,-80,-80,-80,-82,-93,-80,-82,-82,-91,-91,-96,-94,-97,-93,-100,-96,-94,-99,-96,-88,-90,-91,-92,-93,-94,-97,-96,-98,-98,-99,-91,-96,-88,-102,-94,-101,-93,-93
4,1,-96,-97,-94,-93,-92,-92,-90,-91,-93,-92,-93,-93,-92,-91,-88,-89,-86,-94,-96,-90,-86,-89,-89,-85,-83,-95,-97,-94,-87,-87,-86,-90,-82,-82,-82,-82,-84,-88,-92,-88,-91,-95,-92,-90,-88,-87,-88,-91,-83,-88,-81,-96,-94,-94,-102,-95,-87,-86,-88,-88,-94,-94,-96,-92,-97,-91,-99,-99,-99,-94,-96,-98,-95,-99,-96,-93,-92,-90,-88,-90,-92,-99,-95,-85,-98,-94,-94,-97,-97,-91,-97,-99,-89,-88,-87,-89
4,1,-88,-91,-96,-95,-95,-85,-87,-87,-88,-91,-87,-84,-95,-94,-95,-92,-100,-91,-90,-88,-92,-88,-87,-90,-87,-90,-85,-88,-86,-88,-88,-86,-87,-88,-91,-93,-88,-86,-82,-82,-90,-95,-85,-85,-92,-95,-93,-87,-95,-85,-82,-81,-93,-97,-102,-95,-94,-100,-96,-98,-92,-96,-89,-101,-95,-100,-95,-96,-93,-92,-88,-92,-91,-90,-94,-96,-100,-98
4,2,-95,-96,-101,-97,-86,-85,-93,-92,-92,-90,-88,-89,-88,-87,-91,-95,-99,-97,-95,-92,-100,-88,-87,-90,-96,-99,-96,-93,-92,-92,-89,-94,-96,-95,-81,-87,-95,-92,-89,-86,-87,-86,-94,-94,-92,-91,-92,-96,-95,-84,-87,-88,-88,-93,-102,-94,-89,-89,-102,-97,-101,-92,-96,-93,-91,-93,-95,-100,-93,-96,-92,-92,-86,-84,-85,-86,-86,-91,-97,-99,-103,-92,-94,-92,-90,-93,-94
4,2,-87,-88,-92,-92,-92,-99,-91,-92,-93,-91,-93,-97,-98,-95,-96,-97,-97,-92,-88,-91,-90,-95,-92,-96,-99,-91,-90,-87,-97,-95,-98,-91,-88,-99,-96,-95,-93,-96,-93,-87,-83,-81,-95,-96,-96,-95,-96,-93,-90,-96,-92,-88,-92,-93,-99,-91,-94,-89,-93,-82,-89,-97,-93,-100,-92,-85,-87,-94,-91,-100,-98,-96,-100,-91,-90,-96,-97,-91,-90,-91,-94,-100,-93,-97,-96,-94,-86,-89,-87,-94,-95,-92,-90
4,2,-97,-88,-90,-90,-86,-85,-82,-83,-83,-84,-88,-91,-92,-92,-100,-96,-93,-90,-80,-81,-87,-87,-88,-88,-90,-91,-95,-98,-92,-97,-87,-97,-97,-91,-90,-86,-86,-90,-95,-94,-101,-90,-94,-96,-90,-92,-92,-90,-93,-92,-95,-94,-86,-87,-85,-84,-84,-82,-83,-83,-85,-88,-93,-93,-91,-89,-87,-92,-92,-87,-90,-92,-91,-92,-96,-97,-91,-87,-86,-90,-94,-92,-87,-97,-86,-89,-91,-89,-99,-97,-92,-85,-92,-92,-97,-90,-90,-92,-92,-98,-93,-99,-93,-92,-88,-95,-88,-87,-90,-95,-90,-91,-90,-100,-92,-92,-87,-94,-97,-97,-96,-95,-98,-95,-94,-92,-97,-92,-93,-91,-93,-87,-89,-90,-102,-92,-95,-91,-86,-92,-97,-81,-83,-85,-88,-90,-91,-93,-97,-93
4,3,-100,-98,-92,-90,-93,-90,-97,-94,-91,-95,-91,-90,-95,-96,-92,-98,-96,-87,-90,-89,-90,-94,-96,-92,-101,-93,-99,-95,-95,-94,-91,-89,-90,-89,-91,-92,-92,-99,-95,-98,-98,-98,-99,-95,-89,-90,-87,-89,-95,-94,-101,-98,-96,-99,-90,-90,-90,-92,-96,-92,-98,-97,-94,-92,-87,-88,-93,-94,-95,-95,-94,-96,-99,-96,-99,-97,-101,-98,-100,-102,-82,-90,-100,-90,-90,-91,-93,-96,-98,-97,-97,-91,-85,-86,-92,-92,-91,-92,-93,-81,-85,-93,-98,-92,-98,-95,-92,-96,-97,-95,-93,-98,-94,-83,-83,-89,-92,-95,-94,-92
4,3,-93,-92,-89,-101,-102,-100,-98,-96,-97,-96,-100,-92,-92,-94,-93,-89,-90,-89,-90,-90,-85,-88,-93,-88,-96,-94,-102,-95,-92,-90,-94,-88,-94,-91,-95,-93,-90,-90,-94,-93,-95,-88,-91,-98,-91,-90,-91,-93,-92,-93,-94,-96,-94,-89,-92,-100,-92,-85,-86,-86,-92,-100,-101,-103,-92,-88,-90,-88,-90,-100,-91,-99,-93,-95,-94,-87,-93,-92,-88,-86,-86,-88,-89,-88,-88,-89,-90,-93,-93,-95,-93,-94,-91,-93,-99,-91,-90,-91,-90,-90,-94,-90,-92,-99,-93
4,3,-92,-98,-94,-90,-93,-91,-100,-95,-95,-92,-94,-88,-90,-87,-86,-90,-90,-94,-101,-96,-96,-97,-99,-93,-95,-95,-92,-92,-90,-96,-88,-93,-93,-95,-93,-91,-92,-98,-92,-95,-97,-97,-87,-93,-91,-86,-89,-94,-98,-94,-91,-93,-86,-88,-100,-94,-93,-95,-99,-96,-96,-91,-95,-91,-92,-94,-93,-86,-88
